# datasetName, datasetSize, codeMethod, CodeSize, Precision, Recall, FScore
Resources/names/deletions.txt,800,soundex,5,0.9063131,0.38014072,0.53562206
Resources/names/same_sounded.txt,800,soundex,5,0.9868421,0.9802632,0.9835416
Resources/names/additions.txt,800,soundex,6,0.9788889,0.20938379,0.34497717
Resources/names/subs.txt,800,soundex,6,0.9502222,0.18180464,0.30521327
Resources/names/deletions.txt,800,soundex,6,0.9371573,0.3111622,0.46720076
Resources/names/same_sounded.txt,800,soundex,6,0.9868421,0.9802632,0.9835416
Resources/names/additions.txt,800,soundex,7,0.97777784,0.19314137,0.322566
Resources/names/subs.txt,800,soundex,7,0.9502222,0.16301678,0.27829096
Resources/names/deletions.txt,800,soundex,7,0.94494945,0.28044435,0.4325234
Resources/names/same_sounded.txt,800,soundex,7,0.9868421,0.9802632,0.9835416
Resources/names/additions.txt,800,soundex,8,0.97777784,0.19180803,0.32070437
Resources/names/subs.txt,800,soundex,8,0.9502222,0.16168346,0.27634576
Resources/names/deletions.txt,800,soundex,8,0.95555556,0.26804352,0.41865098
Resources/names/same_sounded.txt,800,soundex,8,0.9868421,0.9802632,0.9835416
Resources/names/additions.txt,800,soundex,9,0.97777784,0.19180803,0.32070437
Resources/names/subs.txt,800,soundex,9,0.9502222,0.16168346,0.27634576
Resources/names/deletions.txt,800,soundex,9,0.95555556,0.26601428,0.41617176
Resources/names/same_sounded.txt,800,soundex,9,0.9868421,0.9802632,0.9835416
Resources/names/additions.txt,800,soundex,10,0.97777784,0.19180803,0.32070437
Resources/names/subs.txt,800,soundex,10,0.9502222,0.16168346,0.27634576
Resources/names/deletions.txt,800,soundex,10,0.9631313,0.26384977,0.41422313
Resources/names/same_sounded.txt,800,soundex,10,0.9868421,0.9802632,0.9835416
Resources/names/additions.txt,800,soundex,11,0.97777784,0.19180803,0.32070437
Resources/names/subs.txt,800,soundex,11,0.9502222,0.16168346,0.27634576
Resources/names/deletions.txt,800,soundex,11,0.9631313,0.26276752,0.41288826
Resources/names/same_sounded.txt,800,soundex,11,0.9868421,0.9802632,0.9835416
Resources/names/additions.txt,800,soundex,12,0.97777784,0.19180803,0.32070437
Resources/names/subs.txt,800,soundex,12,0.9502222,0.16168346,0.27634576
Resources/names/deletions.txt,800,soundex,12,0.9631313,0.26276752,0.41288826
Resources/names/same_sounded.txt,800,soundex,12,0.9868421,0.9802632,0.9835416
Resources/names/additions.txt,1000,soundex,2,0.46942243,0.70483077,0.56352985
Resources/names/subs.txt,1000,soundex,2,0.45399213,0.67827713,0.54392093
Resources/names/deletions.txt,1000,soundex,2,0.3544057,0.723247,0.4757059
Resources/names/same_sounded.txt,1000,soundex,2,0.5789473,0.9846492,0.72916514
Resources/names/additions.txt,1000,soundex,3,0.7673404,0.5574651,0.64577854
Resources/names/subs.txt,1000,soundex,3,0.77794516,0.5166504,0.6209286
Resources/names/deletions.txt,1000,soundex,3,0.6684643,0.60204244,0.63351715
Resources/names/same_sounded.txt,1000,soundex,3,0.84210527,0.9846492,0.9078158
Resources/names/additions.txt,1000,soundex,4,0.91548,0.42843026,0.5836987
Resources/names/subs.txt,1000,soundex,4,0.8952587,0.39424333,0.54742026
Resources/names/deletions.txt,1000,soundex,4,0.8408807,0.46887496,0.60204804
Resources/names/same_sounded.txt,1000,soundex,4,0.9605263,0.9802632,0.97029436
Resources/names/additions.txt,1000,soundex,5,0.9521958,0.31024835,0.46800834
Resources/names/subs.txt,1000,soundex,5,0.91857827,0.2640925,0.41024032
Resources/names/deletions.txt,1000,soundex,5,0.90572596,0.3706763,0.52605855
Resources/names/same_sounded.txt,1000,soundex,5,0.9868421,0.9802632,0.9835416
Resources/names/additions.txt,1000,soundex,6,0.9725178,0.22722666,0.36838174
Resources/names/subs.txt,1000,soundex,6,0.93566304,0.1932008,0.32027042
Resources/names/deletions.txt,1000,soundex,6,0.93070406,0.3067095,0.46137488
Resources/names/same_sounded.txt,1000,soundex,6,0.9868421,0.9802632,0.9835416
Resources/names/additions.txt,1000,soundex,7,0.9716312,0.20259279,0.33527756
Resources/names/subs.txt,1000,soundex,7,0.93566304,0.16729656,0.28384215
Resources/names/deletions.txt,1000,soundex,7,0.93701434,0.27635604,0.42682695
Resources/names/same_sounded.txt,1000,soundex,7,0.9868421,0.9802632,0.9835416
Resources/names/additions.txt,1000,soundex,8,0.9822695,0.19549136,0.3260852
Resources/names/subs.txt,1000,soundex,8,0.94283146,0.15742363,0.26979917
Resources/names/deletions.txt,1000,soundex,8,0.94560325,0.26518163,0.41420507
Resources/names/same_sounded.txt,1000,soundex,8,0.9868421,0.9802632,0.9835416
Resources/names/additions.txt,1000,soundex,9,0.9822695,0.19249332,0.32190382
Resources/names/subs.txt,1000,soundex,9,0.94283146,0.15644611,0.26836228
Resources/names/deletions.txt,1000,soundex,9,0.95173824,0.26087254,0.40950054
Resources/names/same_sounded.txt,1000,soundex,9,0.9868421,0.9802632,0.9835416
Resources/names/additions.txt,1000,soundex,10,0.9822695,0.19249332,0.32190382
Resources/names/subs.txt,1000,soundex,10,0.94283146,0.15449108,0.26548082
Resources/names/deletions.txt,1000,soundex,10,0.9578732,0.25758597,0.4059942
Resources/names/same_sounded.txt,1000,soundex,10,0.9868421,0.9802632,0.9835416
Resources/names/additions.txt,1000,soundex,11,0.9822695,0.19249332,0.32190382
Resources/names/subs.txt,1000,soundex,11,0.94283146,0.15449108,0.26548082
Resources/names/deletions.txt,1000,soundex,11,0.9578732,0.25670955,0.4049048
Resources/names/same_sounded.txt,1000,soundex,11,0.9868421,0.9802632,0.9835416
Resources/names/additions.txt,1000,soundex,12,0.9822695,0.19249332,0.32190382
Resources/names/subs.txt,1000,soundex,12,0.94283146,0.15449108,0.26548082
Resources/names/deletions.txt,1000,soundex,12,0.9578732,0.25670955,0.4049048
Resources/names/same_sounded.txt,1000,soundex,12,0.9868421,0.9802632,0.9835416
Resources/names/additions.txt,1200,soundex,2,0.41801223,0.7253953,0.53038675
Resources/names/subs.txt,1200,soundex,2,0.39896873,0.70157367,0.5086691
Resources/names/deletions.txt,1200,soundex,2,0.31048623,0.7250449,0.43478453
Resources/names/same_sounded.txt,1200,soundex,2,0.5789473,0.9846492,0.72916514
Resources/names/additions.txt,1200,soundex,3,0.6972134,0.5866719,0.6371839
Resources/names/subs.txt,1200,soundex,3,0.70141417,0.5493642,0.6161472
Resources/names/deletions.txt,1200,soundex,3,0.65398765,0.60829204,0.63031274
Resources/names/same_sounded.txt,1200,soundex,3,0.84210527,0.9846492,0.9078158
Resources/names/additions.txt,1200,soundex,4,0.8664801,0.4637257,0.60413074
Resources/names/subs.txt,1200,soundex,4,0.84696263,0.43191275,0.572087
Resources/names/deletions.txt,1200,soundex,4,0.83167404,0.48001918,0.6087086
Resources/names/same_sounded.txt,1200,soundex,4,0.9605263,0.9802632,0.97029436
Resources/names/additions.txt,1200,soundex,5,0.93191516,0.3450612,0.50363934
Resources/names/subs.txt,1200,soundex,5,0.90305406,0.3014565,0.45202014
Resources/names/deletions.txt,1200,soundex,5,0.9053294,0.3767126,0.53204024
Resources/names/same_sounded.txt,1200,soundex,5,0.9868421,0.9802632,0.9835416
Resources/names/additions.txt,1200,soundex,6,0.96718293,0.2619201,0.41221058
Resources/names/subs.txt,1200,soundex,6,0.9358631,0.22676313,0.3650687
Resources/names/deletions.txt,1200,soundex,6,0.92852205,0.306857,0.461273
Resources/names/same_sounded.txt,1200,soundex,6,0.9868421,0.9802632,0.9835416
Resources/names/additions.txt,1200,soundex,7,0.9741888,0.22491291,0.36545298
Resources/names/subs.txt,1200,soundex,7,0.94360113,0.18155208,0.30451453
Resources/names/deletions.txt,1200,soundex,7,0.94119173,0.27703756,0.4280729
Resources/names/same_sounded.txt,1200,soundex,7,0.9868421,0.9802632,0.9835416
Resources/names/additions.txt,1200,soundex,8,0.9852508,0.2099491,0.3461388
Resources/names/subs.txt,1200,soundex,8,0.9525297,0.16418195,0.280087
Resources/names/deletions.txt,1200,soundex,8,0.9484456,0.2667365,0.4163739
Resources/names/same_sounded.txt,1200,soundex,8,0.9868421,0.9802632,0.9835416
Resources/names/additions.txt,1200,soundex,9,0.9852508,0.20584615,0.34054336
Resources/names/subs.txt,1200,soundex,9,0.9525297,0.15914948,0.27273086
Resources/names/deletions.txt,1200,soundex,9,0.95362693,0.26309723,0.4124133
Resources/names/same_sounded.txt,1200,soundex,9,0.9868421,0.9802632,0.9835416
Resources/names/additions.txt,1200,soundex,10,0.9852508,0.20584615,0.34054336
Resources/names/subs.txt,1200,soundex,10,0.9525297,0.1575261,0.27034372
Resources/names/deletions.txt,1200,soundex,10,0.9588083,0.26032153,0.40946984
Resources/names/same_sounded.txt,1200,soundex,10,0.9868421,0.9802632,0.9835416
Resources/names/additions.txt,1200,soundex,11,0.9852508,0.20584615,0.34054336
Resources/names/subs.txt,1200,soundex,11,0.9525297,0.1575261,0.27034372
Resources/names/deletions.txt,1200,soundex,11,0.9588083,0.25958133,0.4085536
Resources/names/same_sounded.txt,1200,soundex,11,0.9868421,0.9802632,0.9835416
Resources/names/additions.txt,1200,soundex,12,0.9852508,0.20584615,0.34054336
Resources/names/subs.txt,1200,soundex,12,0.9525297,0.1575261,0.27034372
Resources/names/deletions.txt,1200,soundex,12,0.9588083,0.25958133,0.4085536
Resources/names/same_sounded.txt,1200,soundex,12,0.9868421,0.9802632,0.9835416
Resources/names/additions.txt,1400,soundex,2,0.42209718,0.71214086,0.5300345
Resources/names/subs.txt,1400,soundex,2,0.41553882,0.70295227,0.5223179
Resources/names/deletions.txt,1400,soundex,2,0.2821416,0.7219064,0.4057173
Resources/names/same_sounded.txt,1400,soundex,2,0.5789473,0.9846492,0.72916514
Resources/names/additions.txt,1400,soundex,3,0.71455723,0.5753377,0.6374344
Resources/names/subs.txt,1400,soundex,3,0.72801423,0.5502642,0.6267808
Resources/names/deletions.txt,1400,soundex,3,0.6537341,0.6043717,0.62808454
Resources/names/same_sounded.txt,1400,soundex,3,0.84210527,0.9846492,0.9078158
Resources/names/additions.txt,1400,soundex,4,0.87413925,0.45519742,0.5986534
Resources/names/subs.txt,1400,soundex,4,0.8635279,0.42680645,0.57126164
Resources/names/deletions.txt,1400,soundex,4,0.8210582,0.47700912,0.60343903
Resources/names/same_sounded.txt,1400,soundex,4,0.9605263,0.9802632,0.97029436
Resources/names/additions.txt,1400,soundex,5,0.93211,0.34119928,0.4995413
Resources/names/subs.txt,1400,soundex,5,0.91455424,0.294662,0.44571742
Resources/names/deletions.txt,1400,soundex,5,0.9080529,0.37409353,0.52988756
Resources/names/same_sounded.txt,1400,soundex,5,0.9868421,0.9802632,0.9835416
Resources/names/additions.txt,1400,soundex,6,0.9640586,0.26145208,0.4113471
Resources/names/subs.txt,1400,soundex,6,0.9428205,0.22744368,0.36647892
Resources/names/deletions.txt,1400,soundex,6,0.93202114,0.30949026,0.46467793
Resources/names/same_sounded.txt,1400,soundex,6,0.9868421,0.9802632,0.9835416
Resources/names/additions.txt,1400,soundex,7,0.9701018,0.22635743,0.367066
Resources/names/subs.txt,1400,soundex,7,0.94948715,0.18289821,0.3067145
Resources/names/deletions.txt,1400,soundex,7,0.94511116,0.28007573,0.4321018
Resources/names/same_sounded.txt,1400,soundex,7,0.9868421,0.9802632,0.9835416
Resources/names/additions.txt,1400,soundex,8,0.9796438,0.21275575,0.34958896
